F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;TARGET
0;0;0;1;0;0;0;0;0;1;285268.89730982936;113.07858611922197;6.99;1341.0;36;0;1;1
0;0;1;0;0;0;0;0;0;1;285268.89730982936;113.07858611922197;6.99;125.56;110;0;1;1
0;0;1;0;0;0;0;0;0;1;285268.89730982936;113.07858611922197;6.99;148334.09;33;0;1;1
0;0;1;0;0;0;0;0;0;1;285268.89730982936;113.07858611922197;6.99;4545.52;107;0;1;1
0;0;1;0;0;0;0;0;0;1;97117.0;79.0;6.99;148334.09;37;0;1;1
2;0;0;1;0;0;0;1;0;0;294414.8751367589;120.1930250203447;6.99;1182.0;36;0;1;1
2;0;0;1;0;0;1;0;0;0;294414.8751367589;120.1930250203447;4.99;10000.0;17;0;1;1
2;0;0;1;0;0;1;0;0;0;86278.0;131.0;4.99;6660.0;16;0;1;1
2;1;0;0;0;0;0;0;0;1;120733.0;114.0;4.99;3264.68;23;0;1;1
2;1;0;0;1;0;0;0;0;0;294414.8751367589;120.1930250203447;5.99;47149.98;29;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;11078.82;26;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;11078.82;22;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;20317.45;21;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;11465.14;24;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;20457.78;19;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;32424.64;22;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;4824.64;26;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;9501.74;19;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;28459.58;23;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;20457.78;19;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;11960.18;21;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;20565.3;20;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;4529.84;22;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;11859.84;20;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;32550.42;21;0;1;1
0;1;0;0;1;0;0;0;0;0;285268.89730982936;113.07858611922197;6.99;3750.42;21;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;20710.54;19;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;33136.83;21;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;44439.25;19;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;29939.25;19;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;20710.54;20;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;20710.54;21;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;11864.36;19;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;32577.36;22;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;19377.36;22;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;11864.36;21;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;1137.75;19;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;7224.2;42;0;1;1
0;1;0;0;1;0;0;0;0;0;121122.0;102.0;6.99;20637.75;19;0;1;1
2;0;0;1;1;0;0;0;0;0;323656.0;120.0;5.99;1353.62;54;0;1;1
2;0;0;1;1;0;0;0;0;0;323656.0;120.0;5.99;7896.1;23;0;1;1
2;0;0;1;1;0;0;0;0;0;323656.0;120.0;5.99;5281.1;23;0;1;1
2;0;0;1;1;0;0;0;0;0;323656.0;120.0;5.99;4385.35;23;0;1;1
1;0;0;1;0;0;0;1;0;0;176763.0;97.0;6.99;1985.9;23;0;1;1
1;1;0;0;0;0;0;1;0;0;292199.755297268;117.81681803252933;6.99;687.34;51;0;1;1
1;1;0;0;0;0;0;1;0;0;292199.755297268;117.81681803252933;6.99;52.8;48;0;1;1
0;0;1;0;0;0;0;1;0;0;285268.89730982936;113.07858611922197;5.99;94677.52;17;0;1;1
0;0;1;0;0;0;0;1;0;0;285268.89730982936;113.07858611922197;5.99;50155.47;17;0;1;1
0;0;1;0;0;0;0;1;0;0;285268.89730982936;113.07858611922197;5.99;33436.98;17;0;1;1
0;0;1;0;0;0;0;1;0;0;76468.0;94.0;5.99;21208.81;17;0;1;1
0;0;1;0;0;0;0;1;0;0;76468.0;94.0;5.99;41770.21;17;0;1;1
0;0;1;0;0;0;1;0;0;0;285268.89730982936;113.07858611922197;8.99;20767.95;17;0;1;1
0;0;1;0;0;0;1;0;0;0;285268.89730982936;113.07858611922197;8.99;15595.37;17;0;1;1
0;0;1;0;0;0;1;0;0;0;285268.89730982936;113.07858611922197;8.99;20910.7;17;0;1;1
0;0;1;0;0;0;1;0;0;0;400669.0;118.0;8.99;21219.77;17;0;1;1
0;0;0;1;0;0;0;1;0;0;345588.0;111.0;6.99;2577.44;45;0;1;1
1;1;0;0;0;0;0;1;0;0;292199.755297268;117.81681803252933;5.99;48397.45;16;0;1;1
1;0;0;1;0;0;0;1;0;0;292199.755297268;117.81681803252933;11.99;42164.5;17;0;1;1
1;0;0;1;0;0;0;1;0;0;182834.0;99.0;11.99;110989.04;17;0;1;1
2;1;0;0;0;0;1;0;0;0;294414.8751367589;120.1930250203447;4.99;32753.8;21;0;1;1
2;1;0;0;0;0;1;0;0;0;294414.8751367589;120.1930250203447;4.99;33292.0;16;0;1;1
0;0;0;1;0;0;0;1;0;0;285268.89730982936;113.07858611922197;4.99;243.78;15;0;1;1
2;0;1;0;0;0;0;1;0;0;294414.8751367589;120.1930250203447;5.99;133.3;15;0;1;1
2;0;1;0;0;0;0;1;0;0;294414.8751367589;120.1930250203447;5.99;60.1;15;0;1;1
0;0;0;1;0;0;0;0;0;1;285268.89730982936;113.07858611922197;6.99;27231.55;17;0;1;1
0;0;0;1;0;0;0;0;0;1;285268.89730982936;113.07858611922197;6.99;46421.92;17;0;1;1
0;0;0;1;0;0;0;0;0;1;285268.89730982936;113.07858611922197;6.99;52925.8;16;0;1;1
0;0;0;1;0;0;0;0;0;1;70472.0;87.0;6.99;58434.08;16;0;1;1
0;0;0;1;0;0;0;0;0;1;70472.0;87.0;6.99;50000.0;16;0;1;1
0;0;0;1;0;0;0;0;0;1;70472.0;87.0;6.99;58434.08;16;0;1;1
2;0;1;0;0;0;1;0;0;0;294414.8751367589;120.1930250203447;5.99;82515.0;47;0;1;1
2;0;1;0;0;0;1;0;0;0;294414.8751367589;120.1930250203447;5.99;82515.0;47;0;1;1
2;0;1;0;0;0;1;0;0;0;1853.0;90.0;5.99;17404.75;42;0;1;1
1;0;0;1;0;0;0;0;0;1;292199.755297268;117.81681803252933;5.99;1182.0;36;0;1;1
0;1;0;0;0;0;0;0;1;0;434927.0;97.0;4.99;6603.8;16;0;1;1
0;1;0;0;0;0;0;0;1;0;434927.0;97.0;4.99;43603.8;16;0;1;1
0;1;0;0;0;0;1;0;0;0;285268.89730982936;113.07858611922197;6.99;31489.27;21;0;1;1
0;1;0;0;0;0;1;0;0;0;118130.0;123.0;6.99;30759.9;21;0;1;1
0;1;0;0;0;0;1;0;0;0;118130.0;123.0;6.99;30114.65;21;0;1;1
2;0;0;1;0;0;0;0;1;0;294414.8751367589;120.1930250203447;6.99;1182.0;36;0;1;1
2;0;0;1;0;0;0;0;0;1;109014.0;108.0;8.99;360.0;45;0;1;1
0;0;0;1;0;0;0;0;0;1;167218.0;88.0;4.99;6075.11;23;0;1;1
1;0;0;1;0;0;0;1;0;0;292199.755297268;117.81681803252933;6.99;1589.73;25;0;1;1
1;0;0;1;0;0;0;1;0;0;88087.0;109.0;6.99;1639.55;25;0;1;1
0;0;0;1;0;0;1;0;0;0;555535.0;99.0;6.99;262435.07;1040;0;1;1
2;0;0;1;1;0;0;0;0;0;63597.0;110.0;5.99;360.0;45;0;1;1
